Quarter,42643,42735,42825,date,value
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,42916,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43008,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43100,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43190,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43281,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43373,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43465,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43555,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43646,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43738,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43830,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43921,21627.5
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44012,25362.331999999999
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44104,12258.55
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44196,35218
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44286,51923
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44377,45426
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44469,49326
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44561,37550
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44651,16139
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44742,0
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44834,0
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44926,0
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,45016,0
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,45107,0
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,42916,70165.464999999997
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43008,88750.385999999999
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43100,71135.415999999997
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43190,101093.552
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43281,78944.179999999993
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43373,76462.506500000003
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43465,70057.824500000002
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43555,95467.917000000001
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43646,66570.984500000006
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43738,83693.221999999994
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43830,99970.211500000005
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43921,139610.01550000001
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44012,118715.83349999999
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44104,144600.8995
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44196,123047.632
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44286,134814.011
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44377,102657.8795
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44469,62200.0095
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44561,81889.634999999995
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44651,86788.441999999995
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44742,113026.11199999999
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44834,109985.341
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44926,100197.87300000001
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,45016,122948.8265
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,45107,108372.40700000001
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,42916,18726.475999999999
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43008,35389.1
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43100,15338.666999999999
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43190,39440.521000000001
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43281,24709.460999999999
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43373,25011.843000000001
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43465,17075.614000000001
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43555,37679.762000000002
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43646,21029.937000000002
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43738,24284.916000000001
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43830,29173.856
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43921,34544.660000000003
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44012,31880.25
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44104,53969.957999999999
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44196,31483.223000000002
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44286,30452.471000000001
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44377,31749.758000000002
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44469,19521.350999999999
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44561,36697.197999999997
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44651,14838.239
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44742,27254.571
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44834,17189.803
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44926,19397.455000000002
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,45016,22611.407999999999
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,45107,19682.691999999999
Other domestic,52079.567999999999,59314.84,56745.224000000002,42916,48883.98
Other domestic,52079.567999999999,59314.84,56745.224000000002,43008,50948.002
Other domestic,52079.567999999999,59314.84,56745.224000000002,43100,45449.805999999997
Other domestic,52079.567999999999,59314.84,56745.224000000002,43190,59328.745000000003
Other domestic,52079.567999999999,59314.84,56745.224000000002,43281,63902.837
Other domestic,52079.567999999999,59314.84,56745.224000000002,43373,67524.864000000001
Other domestic,52079.567999999999,59314.84,56745.224000000002,43465,66863.546000000002
Other domestic,52079.567999999999,59314.84,56745.224000000002,43555,80300.385999999999
Other domestic,52079.567999999999,59314.84,56745.224000000002,43646,64199.512000000002
Other domestic,52079.567999999999,59314.84,56745.224000000002,43738,61865.267
Other domestic,52079.567999999999,59314.84,56745.224000000002,43830,63210.622000000003
Other domestic,52079.567999999999,59314.84,56745.224000000002,43921,80141.748000000007
Other domestic,52079.567999999999,59314.84,56745.224000000002,44012,78553.842999999993
Other domestic,52079.567999999999,59314.84,56745.224000000002,44104,83370.607999999993
Other domestic,52079.567999999999,59314.84,56745.224000000002,44196,86381.56
Other domestic,52079.567999999999,59314.84,56745.224000000002,44286,78931.258000000002
Other domestic,52079.567999999999,59314.84,56745.224000000002,44377,68889.020999999993
Other domestic,52079.567999999999,59314.84,56745.224000000002,44469,48379.491000000002
Other domestic,52079.567999999999,59314.84,56745.224000000002,44561,49207.356
Other domestic,52079.567999999999,59314.84,56745.224000000002,44651,42151.495999999999
Other domestic,52079.567999999999,59314.84,56745.224000000002,44742,74475.400999999998
Other domestic,52079.567999999999,59314.84,56745.224000000002,44834,56186.144
Other domestic,52079.567999999999,59314.84,56745.224000000002,44926,43913.781999999999
Other domestic,52079.567999999999,59314.84,56745.224000000002,45016,40086.828999999998
Other domestic,52079.567999999999,59314.84,56745.224000000002,45107,59298.722000000002
Japan,16552.227999999999,13825.879000000001,11397.135,42916,17083.800999999999
Japan,16552.227999999999,13825.879000000001,11397.135,43008,13960.21
Japan,16552.227999999999,13825.879000000001,11397.135,43100,15148.460999999999
Japan,16552.227999999999,13825.879000000001,11397.135,43190,15181.314
Japan,16552.227999999999,13825.879000000001,11397.135,43281,11667.456
Japan,16552.227999999999,13825.879000000001,11397.135,43373,12643.800999999999
Japan,16552.227999999999,13825.879000000001,11397.135,43465,10319.573
Japan,16552.227999999999,13825.879000000001,11397.135,43555,9851.2430000000004
Japan,16552.227999999999,13825.879000000001,11397.135,43646,13864.905000000001
Japan,16552.227999999999,13825.879000000001,11397.135,43738,14502.347
Japan,16552.227999999999,13825.879000000001,11397.135,43830,10098.630999999999
Japan,16552.227999999999,13825.879000000001,11397.135,43921,13806.144
Japan,16552.227999999999,13825.879000000001,11397.135,44012,16671.398000000001
Japan,16552.227999999999,13825.879000000001,11397.135,44104,14660.531999999999
Japan,16552.227999999999,13825.879000000001,11397.135,44196,19949.918000000001
Japan,16552.227999999999,13825.879000000001,11397.135,44286,29391.041000000001
Japan,16552.227999999999,13825.879000000001,11397.135,44377,19766.286
Japan,16552.227999999999,13825.879000000001,11397.135,44469,14484.099
Japan,16552.227999999999,13825.879000000001,11397.135,44561,21487.738000000001
Japan,16552.227999999999,13825.879000000001,11397.135,44651,19192.351999999999
Japan,16552.227999999999,13825.879000000001,11397.135,44742,25225.162
Japan,16552.227999999999,13825.879000000001,11397.135,44834,16976.975999999999
Japan,16552.227999999999,13825.879000000001,11397.135,44926,13284.43
Japan,16552.227999999999,13825.879000000001,11397.135,45016,12452.813
Japan,16552.227999999999,13825.879000000001,11397.135,45107,14072.582
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,42916,34937.129999999997
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,43008,43952.646999999997
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,43100,28672.802
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,43190,42897.889000000003
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,43281,40591.370000000003
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,43373,34300.663999999997
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,43465,32256.370999999999
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,43555,52558.953000000001
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,43646,42330.608999999997
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,43738,32947.493999999999
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,43830,31369.195
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,43921,68097.188999999998
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,44012,59232.114999999998
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,44104,59727.86
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,44196,67769.206000000006
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,44286,97284.311000000002
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,44377,104855.628
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,44469,110739.266
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,44561,93696.486999999994
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,44651,71068.789999999994
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,44742,65013.773999999998
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,44834,54469.589
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,44926,45005.01
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,45016,48889.597000000002
Asia (ex Japan),37871.836000000003,33287.707000000002,41616.834000000003,45107,50894.635999999999
UK,16220.507,18113.773000000001,17441.498,42916,15164.467000000001
UK,16220.507,18113.773000000001,17441.498,43008,22642.510999999999
UK,16220.507,18113.773000000001,17441.498,43100,20853.802
UK,16220.507,18113.773000000001,17441.498,43190,31616.295999999998
UK,16220.507,18113.773000000001,17441.498,43281,44009.902000000002
UK,16220.507,18113.773000000001,17441.498,43373,29325.407999999999
UK,16220.507,18113.773000000001,17441.498,43465,30331.887999999999
UK,16220.507,18113.773000000001,17441.498,43555,45779.644
UK,16220.507,18113.773000000001,17441.498,43646,34500.601999999999
UK,16220.507,18113.773000000001,17441.498,43738,29354.463
UK,16220.507,18113.773000000001,17441.498,43830,22959.881000000001
UK,16220.507,18113.773000000001,17441.498,43921,45017.197
UK,16220.507,18113.773000000001,17441.498,44012,45453.866999999998
UK,16220.507,18113.773000000001,17441.498,44104,60651.868000000002
UK,16220.507,18113.773000000001,17441.498,44196,77975.108999999997
UK,16220.507,18113.773000000001,17441.498,44286,83850.422000000006
UK,16220.507,18113.773000000001,17441.498,44377,51911.472999999998
UK,16220.507,18113.773000000001,17441.498,44469,36431.417000000001
UK,16220.507,18113.773000000001,17441.498,44561,41688.410000000003
UK,16220.507,18113.773000000001,17441.498,44651,39173.442000000003
UK,16220.507,18113.773000000001,17441.498,44742,45146.525999999998
UK,16220.507,18113.773000000001,17441.498,44834,40496.932000000001
UK,16220.507,18113.773000000001,17441.498,44926,39095.733999999997
UK,16220.507,18113.773000000001,17441.498,45016,38985.264000000003
UK,16220.507,18113.773000000001,17441.498,45107,42246
Europe,27619.39,26028.271000000001,34710.514999999999,42916,29781.98
Europe,27619.39,26028.271000000001,34710.514999999999,43008,36285.550000000003
Europe,27619.39,26028.271000000001,34710.514999999999,43100,35962.254999999997
Europe,27619.39,26028.271000000001,34710.514999999999,43190,45942.807000000001
Europe,27619.39,26028.271000000001,34710.514999999999,43281,33782.106
Europe,27619.39,26028.271000000001,34710.514999999999,43373,28325.516
Europe,27619.39,26028.271000000001,34710.514999999999,43465,31599.629000000001
Europe,27619.39,26028.271000000001,34710.514999999999,43555,34466.703000000001
Europe,27619.39,26028.271000000001,34710.514999999999,43646,26933.873
Europe,27619.39,26028.271000000001,34710.514999999999,43738,26821.467000000001
Europe,27619.39,26028.271000000001,34710.514999999999,43830,26046.429
Europe,27619.39,26028.271000000001,34710.514999999999,43921,28123.482
Europe,27619.39,26028.271000000001,34710.514999999999,44012,24405.634999999998
Europe,27619.39,26028.271000000001,34710.514999999999,44104,28558.862000000001
Europe,27619.39,26028.271000000001,34710.514999999999,44196,30964.367999999999
Europe,27619.39,26028.271000000001,34710.514999999999,44286,27731.62
Europe,27619.39,26028.271000000001,34710.514999999999,44377,22893.106
Europe,27619.39,26028.271000000001,34710.514999999999,44469,24158.276000000002
Europe,27619.39,26028.271000000001,34710.514999999999,44561,30589.004000000001
Europe,27619.39,26028.271000000001,34710.514999999999,44651,24223.77
Europe,27619.39,26028.271000000001,34710.514999999999,44742,23827.559000000001
Europe,27619.39,26028.271000000001,34710.514999999999,44834,16258.097
Europe,27619.39,26028.271000000001,34710.514999999999,44926,21645.678
Europe,27619.39,26028.271000000001,34710.514999999999,45016,24489.539000000001
Europe,27619.39,26028.271000000001,34710.514999999999,45107,28836.295999999998
Americas,13740.945,19574.859,13891.066000000001,42916,14424.022000000001
Americas,13740.945,19574.859,13891.066000000001,43008,15487.106
Americas,13740.945,19574.859,13891.066000000001,43100,17226.523000000001
Americas,13740.945,19574.859,13891.066000000001,43190,37715.758000000002
Americas,13740.945,19574.859,13891.066000000001,43281,35311.178
Americas,13740.945,19574.859,13891.066000000001,43373,30384.517
Americas,13740.945,19574.859,13891.066000000001,43465,24412.625
Americas,13740.945,19574.859,13891.066000000001,43555,43210.425000000003
Americas,13740.945,19574.859,13891.066000000001,43646,29414.616000000002
Americas,13740.945,19574.859,13891.066000000001,43738,32943.546999999999
Americas,13740.945,19574.859,13891.066000000001,43830,32244.303
Americas,13740.945,19574.859,13891.066000000001,43921,39883.824999999997
Americas,13740.945,19574.859,13891.066000000001,44012,33459.811000000002
Americas,13740.945,19574.859,13891.066000000001,44104,41054.978000000003
Americas,13740.945,19574.859,13891.066000000001,44196,47907.913
Americas,13740.945,19574.859,13891.066000000001,44286,50946.044000000002
Americas,13740.945,19574.859,13891.066000000001,44377,31456.177
Americas,13740.945,19574.859,13891.066000000001,44469,22672.331999999999
Americas,13740.945,19574.859,13891.066000000001,44561,25797.61
Americas,13740.945,19574.859,13891.066000000001,44651,22214.518
Americas,13740.945,19574.859,13891.066000000001,44742,31149.393
Americas,13740.945,19574.859,13891.066000000001,44834,21187.314999999999
Americas,13740.945,19574.859,13891.066000000001,44926,19811.999
Americas,13740.945,19574.859,13891.066000000001,45016,21913.435000000001
Americas,13740.945,19574.859,13891.066000000001,45107,28320.364000000001
Other international,1201.6579999999999,2126.0889999999999,2218.48,42916,1598.4159999999999
Other international,1201.6579999999999,2126.0889999999999,2218.48,43008,1509.7550000000001
Other international,1201.6579999999999,2126.0889999999999,2218.48,43100,1997.2950000000001
Other international,1201.6579999999999,2126.0889999999999,2218.48,43190,4296.2510000000002
Other international,1201.6579999999999,2126.0889999999999,2218.48,43281,2675.3809999999999
Other international,1201.6579999999999,2126.0889999999999,2218.48,43373,3432.6889999999999
Other international,1201.6579999999999,2126.0889999999999,2218.48,43465,3974.049
Other international,1201.6579999999999,2126.0889999999999,2218.48,43555,4287.692
Other international,1201.6579999999999,2126.0889999999999,2218.48,43646,2719.8409999999999
Other international,1201.6579999999999,2126.0889999999999,2218.48,43738,2374.4209999999998
Other international,1201.6579999999999,2126.0889999999999,2218.48,43830,6215.384
Other international,1201.6579999999999,2126.0889999999999,2218.48,43921,5582.1530000000002
Other international,1201.6579999999999,2126.0889999999999,2218.48,44012,4610.0169999999998
Other international,1201.6579999999999,2126.0889999999999,2218.48,44104,5019.1080000000002
Other international,1201.6579999999999,2126.0889999999999,2218.48,44196,8760.1869999999999
Other international,1201.6579999999999,2126.0889999999999,2218.48,44286,4279.1480000000001
Other international,1201.6579999999999,2126.0889999999999,2218.48,44377,5912.18
Other international,1201.6579999999999,2126.0889999999999,2218.48,44469,2426.96
Other international,1201.6579999999999,2126.0889999999999,2218.48,44561,4733.3900000000003
Other international,1201.6579999999999,2126.0889999999999,2218.48,44651,4748.4390000000003
Other international,1201.6579999999999,2126.0889999999999,2218.48,44742,6793.6220000000003
Other international,1201.6579999999999,2126.0889999999999,2218.48,44834,2730.4369999999999
Other international,1201.6579999999999,2126.0889999999999,2218.48,44926,5273.0990000000002
Other international,1201.6579999999999,2126.0889999999999,2218.48,45016,2310.6680000000001
Other international,1201.6579999999999,2126.0889999999999,2218.48,45107,3614.1210000000001
Total,265427.88050000003,277554.55699999997,287064.50550000003,42916,250765.73699999999
Total,265427.88050000003,277554.55699999997,287064.50550000003,43008,308925.26699999999
Total,265427.88050000003,277554.55699999997,287064.50550000003,43100,251785.027
Total,265427.88050000003,277554.55699999997,287064.50550000003,43190,377513.13299999997
Total,265427.88050000003,277554.55699999997,287064.50550000003,43281,335593.87099999998
Total,265427.88050000003,277554.55699999997,287064.50550000003,43373,307411.80849999998
Total,265427.88050000003,277554.55699999997,287064.50550000003,43465,286891.11949999997
Total,265427.88050000003,277554.55699999997,287064.50550000003,43555,403602.72499999998
Total,265427.88050000003,277554.55699999997,287064.50550000003,43646,301564.87949999998
Total,265427.88050000003,277554.55699999997,287064.50550000003,43738,308787.14399999997
Total,265427.88050000003,277554.55699999997,287064.50550000003,43830,321288.51250000001
Total,265427.88050000003,277554.55699999997,287064.50550000003,43921,476433.91350000002
Total,265427.88050000003,277554.55699999997,287064.50550000003,44012,438345.10149999999
Total,265427.88050000003,277554.55699999997,287064.50550000003,44104,503873.22350000002
Total,265427.88050000003,277554.55699999997,287064.50550000003,44196,529457.11600000004
Total,265427.88050000003,277554.55699999997,287064.50550000003,44286,589603.326
Total,265427.88050000003,277554.55699999997,287064.50550000003,44377,485517.5085
Total,265427.88050000003,277554.55699999997,287064.50550000003,44469,390339.20150000002
Total,265427.88050000003,277554.55699999997,287064.50550000003,44561,423336.82799999998
Total,265427.88050000003,277554.55699999997,287064.50550000003,44651,340538.48800000001
Total,265427.88050000003,277554.55699999997,287064.50550000003,44742,411912.12
Total,265427.88050000003,277554.55699999997,287064.50550000003,44834,335480.63400000002
Total,265427.88050000003,277554.55699999997,287064.50550000003,44926,307625.06
Total,265427.88050000003,277554.55699999997,287064.50550000003,45016,334688.37949999998
Total,265427.88050000003,277554.55699999997,287064.50550000003,45107,355337.82
