Liability / Asset,Currency of Issue (all figures in AUD equivalent),Funding Group,Instrument,date,value
ASSET,AUD,Other Asset Holdings,State Housing Advances,2023-08-31,1365624559.17
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2003-06-30,206836730
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2004-06-30,75004793
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2005-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2006-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2007-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2008-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2009-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2010-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2011-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2012-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2013-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2014-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2015-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2016-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2017-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2018-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2019-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2020-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2021-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2022-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2023-06-30,0
ASSET,AUD,Other Asset Holdings,State Debt Receivables,2023-08-31,0
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2003-06-30,3891734786.88
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2004-06-30,3680050746.08
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2005-06-30,3522794317.98
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2006-06-30,3438374876.85
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2007-06-30,3351829507.14
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2008-06-30,3262758508.36
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2009-06-30,3171452769.62
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2010-06-30,3077862308.03
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2011-06-30,2980827712.65
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2012-06-30,2882954809.57
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2013-06-30,2581014836.61
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2014-06-30,2492239659.43
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2015-06-30,2283249698
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2016-06-30,2191015335
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2017-06-30,2089338220
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2018-06-30,1993396017
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2019-06-30,1895583423.01
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2020-06-30,1646780950.4
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2021-06-30,1554307808.99
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2022-06-30,1460590291.19
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2023-06-30,1365769276.23
ASSET,AUD,Other Asset Holdings,Total AUD Other Asset Holdings,2023-08-31,1365769276.23
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2003-06-30,16091734786.88
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2004-06-30,18530050746.08
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2005-06-30,28972794317.98
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2006-06-30,21588374876.85
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2007-06-30,23701829507.14
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2008-06-30,32312758508.36
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2009-06-30,38719591629.62
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2010-06-30,33794557431.03
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2011-06-30,28060632418.65
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2012-06-30,28584139467.57
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2013-06-30,31810372359.61
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2014-06-30,35608898109.43
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2015-06-30,40794600733
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2016-06-30,33904380537
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2017-06-30,60808149433
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2018-06-30,47093396017
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2019-06-30,32995583423.01
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2020-06-30,73424510494.46
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2021-06-30,59965594645.96
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2022-06-30,88352308251.88
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2023-06-30,84215859644.95
ASSET,AUD,Total AUD ASSET,Total AUD ASSET,2023-08-31,76325932344.4
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2003-06-30,1246991
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2004-06-30,1319905
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2005-06-30,1192079
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2006-06-30,1243628
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2007-06-30,1185897
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2008-06-30,1040304
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2009-06-30,1031087
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2010-06-30,731079
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2011-06-30,621340
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2012-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2013-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2014-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2015-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2016-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2017-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2018-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2019-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2020-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2021-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2022-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2023-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,GBP,2023-08-31,0
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2003-06-30,1246991
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2004-06-30,1319905
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2005-06-30,1192079
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2006-06-30,1243628
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2007-06-30,1185897
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2008-06-30,1040304
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2009-06-30,1031087
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2010-06-30,731079
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2011-06-30,621340
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2012-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2013-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2014-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2015-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2016-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2017-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2018-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2019-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2020-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2021-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2022-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2023-06-30,0
ASSET,Non-AUD,Foreign Loan Receivables,Total Non-AUD Foreign Loan Receivables,2023-08-31,0
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2003-06-30,4829.12332838039
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2004-06-30,5111.40235910878
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2005-06-30,4616.47727272727
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2006-06-30,4816.00395159299
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2007-06-30,4603.39943342776
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2008-06-30,4038.1031269414
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2009-06-30,4002.46305418719
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2010-06-30,3441.58136251324
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2011-06-30,2924.85375731213
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2012-06-30,2986.67483534998
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2013-06-30,3211.46245059289
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2014-06-30,3525.58307720123
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2015-06-30,3992
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2016-06-30,3514
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2017-06-30,3298
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2018-06-30,3460
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2019-06-30,3522.96
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2020-06-30,3491.36
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2021-06-30,3600.44
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2022-06-30,3441.31
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2023-06-30,3715.23
ASSET,Non-AUD,Foreign Overdue Receivables,GBP,2023-08-31,3828.89
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2003-06-30,4829.12332838039
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2004-06-30,5111.40235910878
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2005-06-30,4616.47727272727
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2006-06-30,4816.00395159299
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2007-06-30,4603.39943342776
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2008-06-30,4038.1031269414
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2009-06-30,4002.46305418719
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2010-06-30,3441.58136251324
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2011-06-30,2924.85375731213
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2012-06-30,2986.67483534998
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2013-06-30,3211.46245059289
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2014-06-30,3525.58307720123
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2015-06-30,3992
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2016-06-30,3514
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2017-06-30,3298
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2018-06-30,3460
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2019-06-30,3522.96
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2020-06-30,3491.36
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2021-06-30,3600.44
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2022-06-30,3441.31
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2023-06-30,3715.23
ASSET,Non-AUD,Foreign Overdue Receivables,Total Non-AUD Foreign Overdue Receivables,2023-08-31,3828.89
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2003-06-30,1251820.12332838
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2004-06-30,1325016.40235911
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2005-06-30,1196695.47727273
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2006-06-30,1248444.00395159
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2007-06-30,1190500.39943343
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2008-06-30,1044342.10312694
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2009-06-30,1035089.46305419
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2010-06-30,734520.581362513
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2011-06-30,624264.853757312
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2012-06-30,2986.67483534998
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2013-06-30,3211.46245059289
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2014-06-30,3525.58307720123
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2015-06-30,3992
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2016-06-30,3514
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2017-06-30,3298
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2018-06-30,3460
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2019-06-30,3522.96
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2020-06-30,3491.36
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2021-06-30,3600.44
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2022-06-30,3441.31
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2023-06-30,3715.23
ASSET,Non-AUD,Total Non-AUD ASSET,Total Non-AUD ASSET,2023-08-31,3828.89
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2003-06-30,16092986607.0033
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2004-06-30,18531375762.4824
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2005-06-30,28973991013.4573
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2006-06-30,21589623320.854
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2007-06-30,23703020007.5394
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2008-06-30,32313802850.4631
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2009-06-30,38720626719.083
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2010-06-30,33795291951.6114
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2011-06-30,28061256683.5038
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2012-06-30,28584142454.2448
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2013-06-30,31810375571.0724
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2014-06-30,35608901635.0131
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2015-06-30,40794604725
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2016-06-30,33904384051
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2017-06-30,60808152731
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2018-06-30,47093399477
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2019-06-30,32995586945.97
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2020-06-30,73424513985.82
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2021-06-30,59965598246.4
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2022-06-30,88352311693.19
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2023-06-30,84215863360.18
ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2023-08-31,76325936173.29
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2003-06-30,-42184058883.7403
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2004-06-30,-36090153197.0254
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2005-06-30,-26051176942.6202
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2006-06-30,-32479987435.8675
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2007-06-30,-29560961900.1765
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2008-06-30,-23128300828.079
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2009-06-30,-62426118501.448
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2010-06-30,-113337382750.047
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2011-06-30,-163230169555.994
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2012-06-30,-205391816352.132
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2013-06-30,-225567594576.391
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2014-06-30,-283878060072.803
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2015-06-30,-327943124835
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2016-06-30,-386515454863
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2017-06-30,-440170980295
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2018-06-30,-484843550478
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2019-06-30,-508996444627.23
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2020-06-30,-610873051052.25
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2021-06-30,-757025144803.06
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2022-06-30,-806900199067.31
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2023-06-30,-805574078480.07
Total Net LIABILITY and ASSET,Total Net LIABILITY and ASSET,Total AUD/Non-AUD ASSET,Total AUD/Non-AUD ASSET,2023-08-31,-821953905038.329
